,ssndataquality,dobdataquality,firstentrydate,state,matchingpersonalid,isbcpp,isbcpes,istlp,ismgh,issop,whenupdateddate,cleandashage,cleandashrace,cleandashethnicity,cleandashgender
11246,9,2,9/8/2015,mn,120003123,,,1.0,,1.0,20340,11,4.0,,1.0
11251,1,99,10/1/2014,mn,120003128,,,1.0,,1.0,20560,999,999.0,999.0,999.0
11254,9,1,12/2/2015,mn,120003131,,,1.0,,1.0,20410,18,4.0,,
11260,1,1,2/1/2015,mn,120003137,,1.0,1.0,,,20412,17,4.0,,1.0
11265,1,1,8/5/2015,mn,120003142,,,1.0,,1.0,20403,19,2.0,,1.0
11270,1,99,7/20/2015,mn,120003147,,,1.0,,1.0,20375,20,4.0,,
11272,1,1,6/18/2015,mn,120003149,,,1.0,,1.0,20227,19,4.0,,
11346,8,99,2/27/2015,mn,120003228,1.0,,,,1.0,20327,16,4.0,,
11388,9,1,10/26/2014,mn,120003277,1.0,,,,1.0,20291,17,4.0,,
11523,2,1,7/22/2015,mi,120003427,1.0,1.0,,,1.0,20293,17,2.0,,
11533,2,99,9/6/2014,mi,120003437,1.0,,,,1.0,20397,17,5.0,,1.0
11575,2,99,3/3/2015,mi,120003479,1.0,1.0,,,,20174,14,2.0,,
11577,2,99,1/11/2015,mi,120003482,1.0,1.0,,,,20416,14,5.0,,
11578,2,99,9/30/2014,mi,120003483,1.0,1.0,,,,20416,16,2.0,,1.0
11581,1,99,11/12/2014,mi,120003486,1.0,1.0,,,,20044,13,4.0,,
11594,1,99,1/6/2015,mi,120003500,1.0,1.0,,,,20416,12,2.0,,1.0
11596,2,1,3/30/2015,mi,120003502,1.0,1.0,,,,20178,13,2.0,,1.0
11599,1,1,11/13/2014,mi,120003505,1.0,1.0,,,,20044,16,4.0,,
11600,1,1,1/29/2015,mi,120003506,1.0,1.0,,,,20118,13,2.0,,
11604,9,99,2/10/2015,mi,120003510,1.0,1.0,,,,20416,16,4.0,,
11608,9,1,3/3/2015,mi,120003514,1.0,1.0,,,,20151,13,4.0,,1.0
11610,2,99,10/22/2014,mi,120003516,1.0,1.0,,,,20416,14,4.0,1.0,1.0
11612,1,1,12/12/2014,mi,120003518,1.0,1.0,,,,20072,13,2.0,,1.0
11619,9,1,11/5/2014,mi,120003525,1.0,1.0,,,,20033,15,4.0,,
11622,9,1,10/7/2015,mi,120003529,1.0,1.0,,,,20373,14,2.0,,
11623,2,99,10/18/2014,mi,120003530,1.0,1.0,,,,20416,16,2.0,,1.0
11625,9,99,9/12/2014,mi,120003532,1.0,1.0,,,,20416,16,4.0,,
11627,9,1,4/13/2015,mi,120003534,1.0,1.0,,,,20165,12,2.0,,1.0
11629,1,99,7/1/2015,mi,120003536,1.0,1.0,,,,20272,12,2.0,,1.0
11634,2,1,10/3/2015,mi,120003541,1.0,1.0,,,,20333,15,4.0,,1.0
11636,2,99,10/16/2014,mi,120003543,1.0,1.0,,,,20416,14,2.0,,
11638,2,99,12/27/2014,mi,120003545,1.0,1.0,,,,20416,11,2.0,,1.0
11639,2,1,1/16/2015,mi,120003546,1.0,1.0,,,,20067,12,5.0,,
11640,9,1,10/28/2014,mi,120003547,1.0,1.0,,,,20026,16,2.0,,
11643,2,99,9/27/2014,mi,120003550,1.0,1.0,,,,20416,16,5.0,1.0,
11644,1,99,10/8/2014,mi,120003551,1.0,1.0,,,,20005,11,2.0,,1.0
11645,2,1,10/28/2014,mi,120003552,1.0,1.0,,,,20026,16,4.0,,
11646,2,1,10/23/2014,mi,120003553,1.0,1.0,,,,20026,16,4.0,,1.0
11647,1,1,3/24/2015,mi,120003554,1.0,1.0,,,,20177,14,5.0,,
11648,2,1,12/9/2014,mi,120003555,1.0,1.0,,,,20067,16,2.0,,
11739,2,1,12/1/2015,mi,120003660,1.0,1.0,,,,20430,16,4.0,,4.0
11805,1,1,6/4/2015,mi,120004200,,,1.0,,1.0,20229,18,2.0,,1.0
11817,8,1,6/22/2015,mi,120004213,,,1.0,,1.0,20248,18,5.0,,
11834,2,1,7/14/2015,mi,120004233,1.0,,,,1.0,20312,17,2.0,,1.0
11836,8,1,6/22/2015,mi,120004236,1.0,,,,1.0,20088,17,4.0,,
11837,2,1,7/17/2015,mi,120004237,1.0,,,,1.0,20312,17,2.0,,
11935,8,1,1/20/2016,mn,120004413,,1.0,1.0,,,20476,16,4.0,,1.0
11975,99,99,3/19/2015,mn,120004555,,1.0,1.0,,,20260,17,2.0,,1.0
11983,1,1,2/27/2016,mn,120004563,,1.0,1.0,,,20201,16,2.0,,1.0
12003,1,1,12/16/2015,oh,120004760,,,1.0,,1.0,20412,20,2.0,,1.0
12004,1,1,7/20/2015,oh,120004761,,,1.0,,1.0,20419,18,2.0,,
12012,1,99,2/18/2014,oh,120004769,,,1.0,,1.0,20473,11,5.0,,1.0
12016,1,1,12/7/2015,oh,120004773,,,1.0,,1.0,20437,19,2.0,,
12019,1,1,12/23/2015,oh,120004776,,,1.0,,1.0,20544,20,2.0,,1.0
12025,1,1,1/14/2016,oh,120004782,,,1.0,,1.0,20468,11,2.0,,
12032,1,1,10/5/2015,oh,120004789,,,1.0,,1.0,20317,19,4.0,,1.0
12043,1,1,10/31/2014,oh,120004800,,,1.0,,1.0,20419,20,2.0,,
12052,1,99,12/2/2015,oh,120004809,,,1.0,,1.0,20460,22,4.0,,
12054,1,1,1/14/2016,oh,120004811,,,1.0,,1.0,20478,21,2.0,,
12055,1,99,9/3/2014,oh,120004812,,,1.0,,1.0,20419,21,4.0,,1.0
12057,1,99,11/4/2014,oh,120004814,,,1.0,,1.0,20518,20,2.0,,1.0
12061,1,1,2/27/2015,oh,120004818,,,1.0,,1.0,20165,20,2.0,,
12062,1,1,7/9/2015,oh,120004819,,,1.0,,1.0,20515,21,2.0,,1.0
12090,1,99,7/29/2015,oh,120004847,,,1.0,,1.0,20348,21,2.0,,
12094,1,1,4/23/2015,oh,120004851,,,1.0,,1.0,20140,21,4.0,,
12101,1,1,9/21/2015,oh,120004858,,,1.0,,1.0,20356,22,2.0,,
12107,1,1,3/25/2015,oh,120004864,,,1.0,,1.0,20086,20,5.0,,1.0
12112,1,1,11/11/2015,oh,120004869,,,1.0,,1.0,20395,20,2.0,,1.0
12116,1,1,3/8/2016,oh,120004873,,,1.0,,1.0,20419,20,5.0,,
12121,1,99,8/28/2015,oh,120004878,,,1.0,,1.0,20419,20,4.0,,1.0
12124,1,1,9/16/2015,mn,120004881,1.0,1.0,,,,20348,17,1.0,,
12125,1,1,8/26/2015,mn,120004882,1.0,1.0,,,,20329,16,4.0,1.0,1.0
12126,8,99,10/8/2015,mn,120004883,1.0,1.0,,,,20563,999,999.0,999.0,999.0
12127,8,1,9/21/2015,mn,120004884,1.0,1.0,,,,20354,11,2.0,,
12128,1,1,9/21/2015,mn,120004885,1.0,1.0,,,,20354,17,2.0,,
12180,1,1,8/5/2015,mn,120004942,,1.0,1.0,,,20474,15,2.0,,
12194,1,99,10/7/2015,mn,120004956,,1.0,1.0,,,20488,15,2.0,,
12273,8,99,2/12/2015,il,120005036,1.0,1.0,,,,20433,17,5.0,1.0,
12274,8,99,11/10/2014,il,120005037,1.0,1.0,,,,20563,15,2.0,,
12326,9,99,6/1/2015,il,120005091,1.0,1.0,,,,20429,14,2.0,,
12330,8,1,2/10/2015,il,120005095,1.0,1.0,,,,20429,17,4.0,,
12339,8,99,2/6/2015,il,120005105,1.0,1.0,,,,20433,15,2.0,,
12343,8,1,7/20/2015,il,120005109,1.0,1.0,,,,20433,12,2.0,,
12360,8,99,11/2/2015,il,120005126,1.0,1.0,,,,20578,16,2.0,,
12408,8,99,3/4/2015,il,120005174,1.0,1.0,,,,20563,17,2.0,,
12450,9,99,9/18/2015,il,120005220,1.0,1.0,,,,20429,16,2.0,,
12489,8,99,5/25/2015,il,120005261,1.0,1.0,,,,20577,13,2.0,,
12492,8,99,11/12/2014,il,120005264,1.0,1.0,,,,20433,17,2.0,,
12810,1,99,8/28/2015,mn,130005038,,1.0,1.0,,,20543,16,2.0,,
12869,8,99,1/26/2016,mn,130005097,,1.0,1.0,,,20570,17,2.0,,
12894,1,99,1/11/2016,mn,130005124,,1.0,1.0,,,20569,17,2.0,,
12946,2,99,11/30/2015,mi,130007950,,1.0,1.0,,,20566,999,999.0,999.0,999.0
13026,2,99,7/9/2014,mi,130008049,,1.0,1.0,,,20340,17,5.0,,1.0
13113,2,1,2/28/2015,mi,130008139,,1.0,1.0,,,20152,17,5.0,,1.0
13132,1,99,5/28/2015,mi,130008159,,1.0,1.0,,,20410,17,4.0,,
13191,1,1,12/18/2015,mi,130008220,,1.0,1.0,,,20452,17,2.0,,1.0
13192,2,1,5/1/2015,mi,130008221,,1.0,1.0,,,20164,17,4.0,,1.0
13224,1,1,3/10/2016,mi,130008256,,1.0,1.0,,,20515,17,2.0,999.0,1.0
13294,9,1,8/17/2015,wi,130008378,,1.0,,,1.0,20324,16,2.0,,
13295,9,99,2/18/2016,wi,130008379,1.0,1.0,,,,20550,13,2.0,,
13296,1,99,2/4/2016,wi,130008380,1.0,1.0,,,1.0,20550,999,999.0,999.0,999.0
13297,9,1,11/30/2015,wi,130008381,1.0,1.0,,,,20425,15,5.0,,
13300,1,1,2/11/2016,wi,130008384,1.0,1.0,,,,20502,17,2.0,,1.0
13301,1,1,10/20/2015,wi,130008385,1.0,1.0,,,,20367,17,2.0,,1.0
13303,1,1,10/22/2015,wi,130008387,1.0,1.0,,,,20177,17,2.0,,2.0
13304,9,1,1/31/2016,wi,130008388,1.0,1.0,,,,20286,13,2.0,,1.0
13306,1,1,9/3/2015,wi,130008390,1.0,1.0,,,1.0,20260,15,2.0,,
13308,9,99,12/30/2015,wi,130008392,,1.0,,,1.0,20558,999,999.0,999.0,999.0
13313,9,1,9/18/2015,wi,130008397,1.0,1.0,,,,20408,12,2.0,,
13317,9,1,2/15/2016,wi,130008401,,1.0,,,1.0,20278,13,5.0,1.0,
13318,9,1,2/8/2016,wi,130008402,,1.0,,,1.0,20491,12,2.0,,1.0
13320,1,1,11/3/2015,wi,130008404,1.0,1.0,,,,20118,12,2.0,,1.0
13323,9,1,9/18/2014,wi,130008407,1.0,1.0,,,,20268,14,1.0,1.0,1.0
13324,9,1,2/3/2016,wi,130008408,1.0,1.0,,,,20284,14,2.0,,1.0
13326,9,1,12/15/2015,wi,130008410,,1.0,,,1.0,20425,16,2.0,,1.0
13329,9,99,11/23/2015,wi,130008413,1.0,1.0,,,,20425,12,5.0,,1.0
13332,1,99,3/10/2016,wi,130008416,1.0,1.0,,,1.0,20559,999,999.0,999.0,999.0
13333,9,1,10/11/2015,wi,130008417,1.0,1.0,,,,20177,15,2.0,,1.0
13335,9,1,11/24/2015,wi,130008419,1.0,1.0,,,,20425,13,5.0,,
13337,1,99,10/8/2015,wi,130008421,1.0,1.0,,,,20397,15,2.0,,
13338,9,99,12/11/2015,wi,130008422,1.0,1.0,,,1.0,20558,999,999.0,999.0,999.0
13339,9,99,3/7/2016,wi,130008423,1.0,1.0,,,,20546,999,999.0,999.0,999.0
13340,9,1,1/9/2016,wi,130008424,1.0,1.0,,,,20473,15,2.0,,
13342,9,1,11/16/2015,wi,130008426,1.0,1.0,,,,20248,15,5.0,,
13348,9,99,1/25/2016,wi,130008432,1.0,1.0,,,,20491,11,2.0,,
13349,1,1,7/24/2015,wi,130008433,1.0,1.0,,,1.0,20408,16,2.0,,
13350,9,99,10/17/2015,wi,130008434,1.0,1.0,,,,20394,15,2.0,,
13351,1,1,2/18/2016,wi,130008435,1.0,1.0,,,,20391,16,2.0,,
13353,1,99,3/15/2016,wi,130008437,1.0,1.0,,,,20551,999,999.0,999.0,999.0
13354,9,1,11/15/2015,wi,130008438,1.0,1.0,,,,20260,14,2.0,,
13357,9,1,3/16/2016,wi,130008441,1.0,1.0,,,,20518,15,4.0,1.0,1.0
13358,9,1,11/13/2015,wi,130008442,1.0,1.0,,,1.0,20207,16,2.0,,
13360,9,99,11/5/2015,wi,130008444,1.0,1.0,,,,20425,17,2.0,,1.0
13361,1,1,1/29/2016,wi,130008445,1.0,1.0,,,,20491,16,2.0,,1.0
13362,9,1,12/15/2014,wi,130008446,1.0,1.0,,,1.0,20278,14,5.0,,
13363,9,1,1/25/2016,wi,130008447,1.0,1.0,,,,20491,14,5.0,,1.0
13366,9,1,1/24/2016,wi,130008450,1.0,1.0,,,,20473,13,5.0,,
13367,9,1,3/14/2016,wi,130008451,1.0,1.0,,,,20518,12,2.0,,
13368,9,1,1/6/2016,wi,130008452,1.0,1.0,,,,20362,17,2.0,,
13371,9,1,12/23/2015,wi,130008455,1.0,1.0,,,,20446,17,2.0,,1.0
13372,9,1,11/16/2015,wi,130008456,1.0,1.0,,,,20425,11,2.0,,1.0
13373,1,1,1/20/2016,wi,130008457,1.0,1.0,,,,20408,17,2.0,,
13376,9,99,3/18/2016,wi,130008460,,1.0,,,1.0,20550,17,2.0,,
13378,9,99,4/27/2015,wi,130008462,,1.0,,,1.0,20547,999,999.0,999.0,999.0
13389,1,1,1/20/2016,wi,130008473,1.0,1.0,,,,20299,17,2.0,,
13391,9,1,12/5/2015,wi,130008475,1.0,1.0,,,,20425,16,2.0,,1.0
13392,9,1,10/16/2015,wi,130008476,1.0,1.0,,,,20397,15,4.0,1.0,
13395,9,1,5/13/2015,wi,130008481,1.0,,,,1.0,20172,15,2.0,,1.0
13400,9,1,9/10/2015,wi,130008490,1.0,,,,1.0,20488,17,4.0,1.0,
13404,9,1,7/30/2015,wi,130008495,1.0,,,,1.0,20377,14,2.0,1.0,
13411,9,99,11/18/2015,wi,130008504,1.0,,,,1.0,20504,17,2.0,,2.0
13417,9,1,9/3/2015,wi,130008512,1.0,,,,1.0,20334,15,5.0,,
13422,9,1,12/14/2013,wi,130008522,1.0,,,,1.0,20284,16,999.0,1.0,
13425,1,1,10/29/2015,wi,130008526,1.0,,,,1.0,20297,15,2.0,,1.0
13427,1,1,10/14/2015,wi,130008528,1.0,,,,1.0,20134,19,2.0,,
